未知资源GIS地图->未知资源GIS地图->未知资源GIS地图->资源锁定||15507||0||4||4
未知资源GIS地图->未知资源GIS地图->未知资源GIS地图->修改坐标||15513||0||4||4
未知资源GIS地图->未知资源GIS地图->未知资源GIS地图->未知资源位置修改||15514||0||3||3
资源查询->设备信息->FTTX设备查询->点设备选择||156||40||152||457
C网基站控制器资源信息->C网基站控制器资源信息->打印标签||15609||0||1||1
资源查询->设备信息->FTTX设备查询->端口端子列表查询||157||11||31||56
资源查询->设备信息->FTTX设备查询->清查完成||158||1||2||8
C网基站控制器资源信息->C网基站控制器资源信息->C网基站控制器资源信息->图片上传||15841||0||3||3
C网基站控制器资源信息->C网基站控制器资源信息->C网基站控制器资源信息->二维码上传||15842||0||1||1
C网基站控制器资源信息||1586||16||64||125
C网基站控制器资源信息->打印标签||1587||0||3||6
资源维护->资源清查->DSLAM设备->搜索||16||23||61||97
资源查询->设备信息->FTTX设备查询->扫码功能||160||8||9||11
资源查询->设备信息->FTTX设备查询->打印||161||6||84||320
资源查询->设备信息->电分线盒查询||162||83||259||440
资源查询->设备信息->电分线盒查询->搜索功能||163||41||139||219
资源查询->设备信息->电分线盒查询->点分线盒选择||164||0||1||2
资源查询->设备信息->电分线盒查询->扫码功能||166||10||25||63
资源查询->设备信息->机房ONU查询||167||0||0||1
资源维护->资源清查->DSLAM设备->展示设备端口||17||0||3||3
资源查询->设备信息->资产卡片查询||174||31||98||185
资源查询->设备信息->资产卡片查询->搜索功能||175||25||73||152
资源查询->设备信息->资产卡片查询->设备选择||176||9||26||48
资源查询->设备信息->资产卡片查询->扫码功能||177||0||5||13
资源查询->设备信息->资产卡片查询->打印||178||0||2||2
C网基站控制器资源信息->C网基站控制器资源信息->C网基站控制器资源信息->清查完成||17837||1||1||1
资源查询->资源能手->资源综合查询||180||1||1||5
资源查询->资源能手->资源综合查询->智能设备查询||181||11467||29041||54821
资源查询->资源能手->资源综合查询->光缆专业||182||2427||5779||11552
资源查询->资源能手->资源综合查询->传输专业||183||1488||3362||6283
资源查询->资源能手->资源综合查询->数据专业||184||7568||15896||24135
资源查询->资源能手->资源综合查询->移动专业||185||424||1055||2275
资源查询->资源能手->资源综合查询->交换专业||186||234||582||1099
资源查询->资源能手->资源综合查询->机架管理||187||1367||3661||7985
资源查询->资源能手->资源综合查询->政支资源查询||188||91||172||277
资源查询->资源能手->资源综合查询->动力专业||189||469||1588||3609
资源维护->资源清查->DSLAM设备->清查完成||19||2||3||3
资源查询->资源能手->电路查询||190||6681||13729||23912
资源查询->资源能手->光缆信息协调||192||123||299||447
资源查询->资源能手->两达图地址管理||193||84||209||305
资源查询->资源能手->网络操作工具箱||194||61||165||242
资源查询->资源能手->网络操作工具箱->Ping工具||195||25||72||102
资源查询->资源能手->网络操作工具箱->Tracert工具||196||11||43||57
资源查询->资源能手->视频管理||197||24||63||92
资源查询->资源能手->楼宇库||198||22||54||89
资源查询->资源能手->百度选址||199||352||1149||1935
资源维护->资源清查||2||19713||41034||67900
资源维护->资源清查->DSLAM设备->扫码||20||2||4||10
资源查询->资源能手->工程图纸||200||55||157||240
资源查询->资源能手->楼宇库H5||201||127||299||425
资源查询->资源能手->工程挂测||202||1055||2492||4321
账号查询||204||198053||402299||644298
账号查询->路由查询||205||100693||207640||336723
账号查询->路由查询->打印||206||578||1218||2046
账号查询->末梢设备查询||207||29030||61389||98961
GPS地图->资源上图||209||103||529||1072
GPS地图->地址查询||212||2701||7373||10159
GPS地图->搜索周边||213||20||58||88
GPS地图->地址定位||216||33||79||117
资源维护->资源清查->交换机设备->搜索||22||18||47||75
C网基站控制器资源信息->清查完成||2551||2||8||16
C网基站控制器资源信息->C网基站控制器资源信息||2552||5||29||39
C网基站控制器资源信息->C网基站控制器资源信息->C网基站控制器资源信息||2553||2||7||9
C网基站控制器资源信息->C网基站控制器资源信息->C网基站控制器资源信息->C网基站控制器资源信息||2554||1||3||3
C网基站控制器资源信息->详情||2563||0||0||1
资源维护->资源清查->交换机设备->扫码||26||1||3||5
全资源搜索->全资源搜索->空调设备资源信息->清查完成||2626||6||7||22
全资源搜索->全资源搜索->空调设备资源信息->空调设备资源信息||2682||2||2||11
资源维护->资源清查->ONU远端设备->搜索||28||52||143||253
资源维护->资源清查->ONU远端设备->展示设备端口||29||240||572||947
资源维护->资源清查->ONU远端设备->端口互换||30||8||9||19
C网基站控制器资源信息->图片上传||3070||11||28||51
C网基站控制器资源信息->二维码上传||3071||4||14||24
资源维护->资源清查->ONU远端设备->清查完成||31||2||6||22
全资源搜索->全资源搜索->空调设备资源信息||314||11||15||100
全资源搜索->全资源搜索->空调设备资源信息->图片上传||315||3||9||64
资源维护->资源清查->ONU远端设备->扫码||32||0||4||24
全资源搜索->全资源搜索->全资源搜索->L网RRU资源信息||326||286||1143||2934
资源维护->资源清查->软交换网网关->搜索||34||1||10||15
资源维护->资源清查->软交换网网关->展示设备端口||35||1||5||7
资源维护->资源清查->软交换网网关->扫码||38||0||0||1
全资源搜索->全资源搜索->空调设备资源信息->所属机房||3997||0||1||3
资源维护->资源清查->分光器->搜索||4||1710||3735||5787
资源维护->资源清查->网络交换机->搜索||40||9||21||33
资源维护->资源清查->网络交换机->展示设备端口||41||1||1||1
全资源搜索->全资源搜索->空调设备资源信息->打印标签||410||0||0||13
资源维护->资源清查->网络交换机->扫码||44||0||2||5
资源维护->资源清查->驻地网交换机->搜索||46||0||2||5
资源维护->资源清查->驻地网交换机->展示设备端口||47||0||0||1
资源维护->资源清查->分光器->展示设备端口||5||1096||2417||3790
资源维护->资源清查->综合接入设备->搜索||52||27||66||126
全资源搜索->全资源搜索->空调设备资源信息->二维码上传||521||0||3||21
全资源搜索->全资源搜索->空调设备资源信息->闲置入库||525||0||1||3
资源维护->资源清查->综合接入设备->展示设备端口||53||24||26||27
资源维护->资源清查->综合接入设备->端口互换||54||1||1||1
资源维护->资源清查->综合接入设备->清查完成||55||0||3||3
资源维护->资源清查->综合接入设备->扫码||56||4||11||21
资源维护->资源清查->综合设备->搜索||58||36||87||157
资源维护->资源清查->分光器->端口互换||6||15||33||49
资源维护->资源清查->综合设备->清查完成||61||3||4||6
资源维护->资源清查->综合设备->扫码||62||7||17||27
资源维护->范围地址修改||63||63||158||242
资源维护->范围地址修改->地址查询||64||32||71||115
资源维护->FTTH改端口||66||242518||495232||774687
资源维护->FTTH改端口->业务查询||67||262033||537582||843793
资源维护->FTTH改端口->选择路由||68||199583||409695||636700
C网基站控制器资源信息->闲置入库||6972||0||0||1
资源维护->资源清查->分光器->清查完成||7||44||86||151
资源维护->非FTTH改端口->业务查询||71||58252||125631||224581
资源维护->非FTTH改端口->改口||72||1913||3683||6390
C网基站控制器资源信息->C网基站控制器资源信息->图片上传||7275||0||7||12
C网基站控制器资源信息->C网基站控制器资源信息->二维码上传||7276||0||3||4
资源维护->非FTTH改端口->提交路由||73||1020||1877||3234
资源查询||74||202976||435030||722737
资源查询->两达图||75||141||335||524
资源查询->两达图->选择区域||76||38||108||175
资源查询->两达图->翻页功能||77||24||65||143
资源查询->两达图->小区查询||78||73||135||191
C网基站控制器资源信息->C网基站控制器位置信息||7869||2||2||4
C网基站控制器资源信息->位置信息||7870||2||2||4
C网基站控制器资源信息->C网基站控制器资源信息->清查完成||7871||0||4||5
资源查询->两达图->进入小区||79||15||23||32
资源维护->资源清查->分光器->扫码||8||73||157||285
资源查询->两达图->进入小区->点击楼栋||80||10||12||19
资源查询->两达图->进入小区->点击单元||81||3||7||13
资源查询->两达图->进入小区->点击房号||82||5||6||14
资源查询->两达图->进入小区->异网能力页面||83||2||2||4
资源查询->两达图->进入小区->宣传主题页面||84||2||3||5
资源查询->两达图->进入小区->用户清单页面||85||6||9||11
资源查询->两达图->进入小区->它网用户页面||86||0||0||2
资源查询->修改日志->改端口日志||88||622||1898||2667
资源查询->修改日志->改线日志||90||61||169||261
资源查询->修改日志->数据清查日志||92||14||55||93
全资源搜索->全资源搜索->空调设备资源信息->闲置转可用||9226||0||0||1
资源查询->修改日志->改迁日志||94||424||1057||1647
资源查询->修改日志->改端口状态日志||96||66||177||268
资源查询->修改日志->改缆序状态日志||98||3||24||29
